"movieId","tmdbId","title","original_title","overview","release_date","poster_path","backdrop_path","tmdb_vote","vote_count","popularity","dtype","originalLanguage"
"11176","11176","The Muppet Movie","The Muppet Movie","The Muppets gather to watch their newly-finished big-budget rich-and-famous feature film: a talent agent persuades Kermit the Frog to leave the swamp to pursue a career in Hollywood. On his way there, he meets a bear, a pig, a whatever (his future muppet crew), and some special celebrity guest stars, while being chased by the desperate owner of a frog-leg restaurant!","1979-06-22","/mfj8yR2vO5BMkaTMu1wvKQLUTsL.jpg","/9mbXZSLINbwNQateHLGRhtaZzZB.jpg","7.208","686","3.5024","MOVIE","en"
"14900","14900","The Great Muppet Caper","The Great Muppet Caper","Kermit and Fozzie are newspaper reporters sent to London to interview Lady Holiday, a wealthy fashion designer whose priceless diamond necklace is stolen. Kermit meets and falls in love with her secretary, Miss Piggy. The jewel thieves strike again, and this time frame Miss Piggy. It's up to Kermit and Muppets to bring the real culprits to justice.","1981-06-26","/8wVmU4JziUSM3cEF4JHHG8pt426.jpg","/p5qPj9klS3IKXBbnWurZYlmSpHx.jpg","6.909","335","2.7419","MOVIE","en"
"11899","11899","The Muppets Take Manhattan","The Muppets Take Manhattan","When the Muppets graduate from Danhurst College, they take their song-filled senior revue to New York City, only to learn that it isn't easy to find a producer who's willing to back a show starring a frog and a pig. Of course, Kermit the Frog and Miss Piggy won't take no for an answer, launching a search for someone to take them to Broadway.","1984-06-27","/rm6Gs0tvswtSE8cXBIAJqa6l25T.jpg","/t97xZTGkK1bBzIhjxoRdGnF9tcl.jpg","6.596","412","1.3662","MOVIE","en"
"18890","18890","We're Back! A Dinosaur's Story","We're Back! A Dinosaur's Story","Captain New Eyes travels back in time and feeds dinosaurs his Brain Grain cereal, which makes them intelligent and non-violent. They agree to go to the ""Middle Future"" in order to grant the wishes of children in New York City. They are to meet Dr. Bleeb of the Museum of Natural History, but get sidetracked with their new children friends and run into the Captain's evil brother, Professor Screweyes.","1993-11-24","/iyFmhYlioe3PDZjSKWtcIhu5R02.jpg","/6pbIOpnWFAO42JgZhuNUdMEUxi8.jpg","6.09","439","1.7183","MOVIE","en"
"19736","19736","Baby: Secret of the Lost Legend","Baby: Secret of the Lost Legend","A paleontologist and her husband discover a mother and baby brontosaurus in Africa, and try to protect them from hunters who want to capture them.","1985-03-29","/AvIT5XHXrxeNHxTHmyRalm7tfSM.jpg","/dUmE2mHym2B2otA3PIFU88di7Ru.jpg","5.2","72","1.1502","MOVIE","en"
"123047","123047","Turtle Diary","Turtle Diary","Two separate people, a man and a woman, find something very stirring about the sea turtles in their tank at the London Zoo. They meet and form an odd, but sympathetic camaraderie as they plan to steal two of the turtles and free them into the ocean.","1985-12-06","/tY9j8r1dVVrATeThyro02ALmWwF.jpg","/at8sZnU2IEI7vbWsNe1IyI5yymM.jpg","6.2","14","1.1853","MOVIE","en"
"24575","24575","Raise the Titanic","Raise the Titanic","To obtain a supply of a rare mineral, a ship raising operation is conducted for the only known source, the Titanic.","1980-08-01","/XvukyvRCbkYKKv1TdtlyNxvzEl.jpg","/k0mwvvXFvBAVTrlYf5D2sETXMHX.jpg","5.3","110","1.3193","MOVIE","en"
"16535","16535","Titanic","Titanic","Unhappily married, Julia Sturges decides to go to America with her two children on the Titanic. Her husband, Richard also arranges passage on the luxury liner so as to have custody of their two children. All this fades to insignificance once the ship hits an iceberg.","1953-04-11","/rEPzO9I6LCk6Mxg1X4BsBk6oA3V.jpg","/ahbx803wrITvlSjxLyp0Sfkzy3s.jpg","6.6","151","1.673","MOVIE","en"
"10971","10971","A Night to Remember","A Night to Remember","The sinking of the Titanic is presented in a highly realistic fashion in this tense British drama. The disaster is portrayed largely from the perspective of the ocean liner's second officer, Charles Lightoller. Despite numerous warnings about ice, the ship sails on, with Capt. Edward John Smith keeping it going at a steady clip. When the doomed vessel finally hits an iceberg, the crew and passengers discover that they lack enough lifeboats, and tragedy follows.","1958-07-03","/6fDhJAz6AuYWj3hAnvUL42Xlxfj.jpg","/gHWnnV2n9eS1aQKRmg6JSpj6bsC.jpg","7.7","287","1.9862","MOVIE","en"
"23928","23928","Captain Horatio Hornblower R.N.","Captain Horatio Hornblower R.N.","Captain Horatio Hornblower leads his ship HMS Lydia on a perilous transatlantic voyage, during which his faithful crew battle both a Spanish warship and a ragged band of Central American rebels.","1951-04-10","/oielnqLw4gVpaJDN6QTOapCqRXf.jpg","/2ebqtLs0Yismdg8Wdeg8Ludu6Ts.jpg","6.9","138","2.4217","MOVIE","en"
