media_content_id,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage,cast,director
29154,29154,Stand and Deliver,Stand and Deliver,"Jaime Escalante is a mathematics teacher in a school in a hispanic neighbourhood. Convinced that his students have potential, he adopts unconventional teaching methods to try and turn gang members and no-hopers into some of the country's top algebra and calculus students.",1988-03-11,/A9pfzwk02iNl6i9wyk8lNcBkvc.jpg,/fSmCPURM80YLuXNvSmU6zoJ52ZN.jpg,7.644,431,2.4994,MOVIE,en,"Edward James Olmos, Lou Diamond Phillips, Rosanna DeSoto, Andy Garcia, Estelle Harris",Ramón Menéndez
2039,2039,Moonstruck,Moonstruck,"37-year-old Italian-American widow Loretta Castorini believes she is unlucky in love, and so accepts a marriage proposal from her boyfriend Johnny, even though she doesn't love him. When she meets his estranged younger brother Ronny, an emotional and passionate man, she finds herself drawn to him. She tries to resist, but Ronny, who blames his brother for the loss of his hand, has no scruples about aggressively pursuing her while Johnny is out of the country. As Loretta falls for Ronny, she learns that she's not the only one in her family with a secret romance.",1987-12-16,/2mnVWpvsHEHHnfvLn1NXYVvBGl5.jpg,/5RQ5SIcrtKeUYeYeJLRTljR8LcN.jpg,6.851,1081,3.246,MOVIE,en,"Cher, Nicolas Cage, Vincent Gardenia, Olympia Dukakis, Danny Aiello",Norman Jewison
77915,77915,The Sandpiper,The Sandpiper,"A free-spirited single mother forms a connection with the wedded headmaster of an Episcopalian boarding school in Monterey, California.",1965-06-23,/cOEIl9QjFe6Pt5W7hbkt2Hy7EfX.jpg,/x2dgbGQr4MAt6ljJHIsW0ObqwWD.jpg,6.3,53,1.2045,MOVIE,en,"Elizabeth Taylor, Richard Burton, Eva Marie Saint, Charles Bronson, Robert Webber",Vincente Minnelli
11943,11943,Jeremiah Johnson,Jeremiah Johnson,A mountain man who wishes to live the life of a hermit becomes the unwilling object of a long vendetta by Indians when he proves to be the match of their warriors in one-on-one combat on the early frontier.,1972-09-10,/fANj1S3UmBB51wnKxYRKtw8LMBn.jpg,/gSFkUGrgCSDDQpsQ6HbrEQ41tMl.jpg,7.287,681,3.5407,MOVIE,en,"Robert Redford, Will Geer, Delle Bolton, Josh Albee, Joaquín Martínez",Sydney Pollack
11481,11481,Repulsion,Repulsion,"Beautiful young manicurist Carole suffers from androphobia (the pathological fear of interaction with men). When her sister and roommate, Helen, leaves their London flat to go on an Italian holiday with her married boyfriend, Carole withdraws into her apartment. She begins to experience frightful hallucinations, her fear gradually mutating into madness.",1965-06-01,/dtyCKEPLqv9wxyVazL4b843vtUb.jpg,/5rbPwIdEZTyLTkpAgvGdacgCr7T.jpg,7.378,1091,2.5656,MOVIE,en,"Catherine Deneuve, Ian Hendry, John Fraser, Yvonne Furneaux, Patrick Wymark",Roman Polanski
2690,2690,Irma la Douce,Irma la Douce,"When a recently fired policeman falls in love with a French prostitute, he doesn't want her to be with other men, so he creates an alter-ego in order to become her only customer.",1963-01-30,/5TgL8ql6WwXWmX4EvBL4geJ7gx5.jpg,/6j1yeUhtFUVACFjLJXCFLswlcFE.jpg,7.398,470,2.1948,MOVIE,en,"Shirley MacLaine, Jack Lemmon, Lou Jacobi, Bruce Yarnell, Herschel Bernardi",Billy Wilder
20565,20565,42 Up,42 Up,Director Michael Apted revisits the same group of British-born adults after a 7 year wait. The subjects are interviewed as to the changes that have occurred in their lives during the last seven years.,1999-11-17,/fcOziYVE7iGW3H7tM4yLod4ExvK.jpg,/k5KUDSvYbxKzcE9zdkixvQ0qLkb.jpg,7.6,54,0.4915,MOVIE,en,"Bruce Balden, Jacqueline Bassett, Symon Basterfield, Andrew Brackfield, John Brisby",Michael Apted
27141,27141,Liberty Heights,Liberty Heights,"This semi-autobiographical film by Barry Levinson follows various members of the Kurtzman clan, a Jewish family living in suburban Baltimore during the 1950s. As teenaged Ben completes high school, he falls for Sylvia, a black classmate, creating inevitable tensions. Meanwhile, Ben's brother, Van, attends college and becomes smitten with a mysterious woman while their father tries to maintain his burlesque business.",1999-11-17,/pFcUURqmwvvyq0eFzvDun8daPMX.jpg,/2oOBBTJpkbzW3zOh9JIAWI5vawY.jpg,6.6,79,1.4612,MOVIE,en,"Adrien Brody, Ben Foster, Orlando Jones, Bebe Neuwirth, Joe Mantegna",Barry Levinson
10399,10399,Mansfield Park,Mansfield Park,"Fanny Price is sent to live with her wealthy relatives, the Bertrams, where she is treated poorly by most except her cousin Edmund. Her life is complicated by the arrival of the worldly Mary and Henry Crawford.",1999-11-12,/4l6KP9BSU1QgSgj9cjpeS3Bfhsr.jpg,/w3jB1liVZioKssQ9V18mEZaTG9V.jpg,6.694,327,2.1308,MOVIE,en,"Frances O'Connor, Jonny Lee Miller, Alessandro Nivola, Hannah Taylor-Gordon, Lindsay Duncan",Patricia Rozema
2668,2668,Sleepy Hollow,Sleepy Hollow,"Skeptical young detective Ichabod Crane gets transferred to the hamlet of Sleepy Hollow, New York, where he is tasked with investigating the decapitations of three people – murders the townsfolk attribute to a legendary specter, The Headless Horseman.",1999-11-19,/1GuK965FLJxqUw9fd1pmvjbFAlv.jpg,/m8t7K3LcAY7bpyQ7iQ5kGsrcjnh.jpg,7.188,7297,7.5158,MOVIE,en,"Johnny Depp, Christina Ricci, Miranda Richardson, Michael Gambon, Casper Van Dien",Tim Burton
